PROPERTY NAME,BRAND,BRANCH,PARENT SITE,AREA,REGION,TYPE,FULL ADDRESS,LAT,LON,SOURCE,LOCATION CONFIDENCE,REP,VISIT DATE,OUTCOME,REQUIREMENT,COMPETITOR/VENDOR,PRICING,CONTACT ROLE,CONTACT NAME,CONTACT PHONE,FOLLOW-UP,REMARKS,LOGGED_LAT,LOGGED_LON,OVERLAP_FLAG,OVERLAP_REP,DATA_STATUS
CloudPoint Business Hub,CloudPoint,Marathahalli,,Marathahalli,East Bengaluru,Coworking Space,"133, Marathahalli Main Road, Bengaluru",12.955849,77.691785,synthetic_demo,high,Rep B,2026-06-21,Competitor,,SecurePark,Not discussed,Security Manager,Contact 074,+91-90000-10073,Share proposal,No immediate requirement; monitor for future demand.,12.955077,77.691456,No,,Synthetic Demo
Momentum Corporate Centre,Momentum,Bellandur,,Bellandur,South-East Bengaluru,Business Park,"134, Bellandur Main Road, Bengaluru",12.922785,77.673613,synthetic_demo,high,Rep C,2026-06-24,Competitor,,MetroValet,Budget discussion,Security Manager,Contact 075,+91-90000-10074,Share proposal,Existing parking arrangement is currently being reviewed.,12.922834,77.673494,No,,Synthetic Demo
Everest Tech Park,Everest,Domlur,,Domlur,East Bengaluru,Corporate Office,"135, Domlur Main Road, Bengaluru",12.957432,77.644015,synthetic_demo,high,Rep D,2026-06-27,Space Shortage,Valet support during peak hours,MetroValet,Not discussed,Operations Manager,Contact 076,+91-90000-10075,Revisit next week,Facility team requested more details.,12.957034,77.643408,No,,Synthetic Demo
BridgePoint Workspace,BridgePoint,Koramangala,,Koramangala,South Bengaluru,Tech Park,"136, Koramangala Main Road, Bengaluru",12.939716,77.622276,synthetic_demo,high,Rep A,2026-06-30,No Requirement,,None,Quote requested,Admin Manager,Contact 077,+91-90000-10076,Revisit next week,Parking demand appears higher during peak hours.,12.940098,77.621918,No,,Synthetic Demo
Pinnacle Business Park,Pinnacle,HSR Layout,,HSR Layout,South-East Bengaluru,Coworking Space,"137, HSR Layout Main Road, Bengaluru",12.913465,77.646148,synthetic_demo,high,Rep B,2026-07-03,Access Blocked,,None,Quote requested,Operations Manager,Contact 078,+91-90000-10077,Call facility manager,Parking demand appears higher during peak hours.,12.913242,77.645832,No,,Synthetic Demo
Amber Corporate Hub,Amber,Indiranagar,,Indiranagar,East Bengaluru,Business Park,"138, Indiranagar Main Road, Bengaluru",12.983375,77.640306,synthetic_demo,high,Rep C,2026-07-06,Space Shortage,Valet support during peak hours,MetroValet,,Facility Manager,Contact 079,+91-90000-10078,,Existing parking arrangement is currently being reviewed.,12.983042,77.641017,No,,Synthetic Demo
TechVista Campus,TechVista,Electronic City,,Electronic City,South Bengaluru,Corporate Office,"139, Electronic City Main Road, Bengaluru",12.842379,77.65716,synthetic_demo,high,Rep D,2026-07-09,Space Shortage,Additional visitor parking,None,Budget discussion,Security Manager,Contact 080,+91-90000-10079,,Security team redirected the enquiry.,12.842284,77.656655,No,,Synthetic Demo
Orion Tech Park,Orion,Whitefield,,Whitefield,East Bengaluru,Tech Park,"100, Whitefield Main Road, Bengaluru",12.971473,77.7442,synthetic_demo,high,Rep A,2026-07-12,Opportunity,25 cars and 40 bikes,None,,Security Manager,Contact 081,+91-90000-10080,Check requirement next month,Security team redirected the enquiry.,12.970792,77.744407,No,,Synthetic Demo
Vertex Business Park,Vertex,Mahadevapura,,Mahadevapura,East Bengaluru,Coworking Space,"101, Mahadevapura Main Road, Bengaluru",12.9909,77.700879,synthetic_demo,high,Rep B,2026-07-15,Opportunity,30 two-wheeler spaces,Urban Parking Solutions,Budget discussion,Facility Manager,Contact 082,+91-90000-10081,,Parking demand appears higher during peak hours.,12.99029,77.701302,No,,Synthetic Demo
Summit Tech Campus,Summit,Brookefield,,Brookefield,East Bengaluru,Business Park,"102, Brookefield Main Road, Bengaluru",12.971838,77.71712,synthetic_demo,high,Rep C,2026-07-18,Access Blocked,,Urban Parking Solutions,Not discussed,Security Manager,Contact 083,+91-90000-10082,Share proposal,Security team redirected the enquiry.,12.971514,77.717262,No,,Synthetic Demo
Apex Corporate Hub,Apex,Marathahalli,,Marathahalli,East Bengaluru,Corporate Office,"103, Marathahalli Main Road, Bengaluru",12.963806,77.692443,synthetic_demo,high,Rep D,2026-07-21,Competitor,,Urban Parking Solutions,,Property Manager,Contact 084,+91-90000-10083,Call facility manager,Opportunity requires management approval.,12.963165,77.692863,No,,Synthetic Demo
BlueStone Business Centre,BlueStone,Bellandur,,Bellandur,South-East Bengaluru,Tech Park,"104, Bellandur Main Road, Bengaluru",12.924063,77.670758,synthetic_demo,high,Rep A,2026-07-24,Space Shortage,30 two-wheeler spaces,None,Quote requested,Admin Manager,Contact 085,+91-90000-10084,Call facility manager,Parking demand appears higher during peak hours.,12.924146,77.670208,No,,Synthetic Demo
Nova Tech Garden,Nova,Domlur,,Domlur,East Bengaluru,Coworking Space,"105, Domlur Main Road, Bengaluru",12.957524,77.638764,synthetic_demo,high,Rep B,2026-07-27,Competitor,,Urban Parking Solutions,Not discussed,Operations Manager,Contact 086,+91-90000-10085,Check requirement next month,Initial discussion completed.,12.957094,77.639095,No,,Synthetic Demo
Pioneer Coworking Hub,Pioneer,Koramangala,,Koramangala,South Bengaluru,Business Park,"106, Koramangala Main Road, Bengaluru",12.929518,77.620886,synthetic_demo,high,Rep C,2026-07-30,Space Shortage,Additional visitor parking,ParkPro Services,Budget discussion,Property Manager,Contact 087,+91-90000-10086,,Opportunity requires management approval.,12.930004,77.620403,No,,Synthetic Demo
EastPoint Workspaces,EastPoint,HSR Layout,,HSR Layout,South-East Bengaluru,Corporate Office,"107, HSR Layout Main Road, Bengaluru",12.913399,77.647939,synthetic_demo,high,Rep D,2026-08-02,Opportunity,Valet support during peak hours,ParkPro Services,Budget discussion,Admin Manager,Contact 088,+91-90000-10087,Share proposal,Initial discussion completed.,12.912694,77.648407,No,,Synthetic Demo
Cedar Business Park,Cedar,Indiranagar,,Indiranagar,East Bengaluru,Tech Park,"108, Indiranagar Main Road, Bengaluru",12.975045,77.641871,synthetic_demo,high,Rep A,2026-08-05,Access Blocked,,SecurePark,,Security Manager,Contact 089,+91-90000-10088,Call facility manager,Opportunity requires management approval.,12.974732,77.641715,No,,Synthetic Demo
Infinity Corporate Plaza,Infinity,Electronic City,,Electronic City,South Bengaluru,Coworking Space,"109, Electronic City Main Road, Bengaluru",12.848913,77.654278,synthetic_demo,high,Rep B,2026-08-08,Follow-up,,SecurePark,,Property Manager,Contact 090,+91-90000-10089,Check requirement next month,Initial discussion completed.,12.849536,77.654653,No,,Synthetic Demo
Axis Workspaces,Axis,Whitefield,,Whitefield,East Bengaluru,Business Park,"130, Whitefield Main Road, Bengaluru",12.975674,77.75158,synthetic_demo,high,Rep D,2026-08-11,Access Blocked,,None,,Admin Manager,Contact 091,+91-90000-10090,Call facility manager,Opportunity requires management approval.,12.976212,77.7517,Yes,Rep A,Synthetic Demo
CloudPoint Business Hub,CloudPoint,Marathahalli,,Marathahalli,East Bengaluru,Coworking Space,"133, Marathahalli Main Road, Bengaluru",12.955849,77.691785,synthetic_demo,high,Rep A,2026-08-14,Opportunity,Overflow parking solution,Urban Parking Solutions,,Admin Manager,Contact 092,+91-90000-10091,Call facility manager,Security team redirected the enquiry.,12.955879,77.691693,Yes,Rep B,Synthetic Demo
BridgePoint Workspace,BridgePoint,Koramangala,,Koramangala,South Bengaluru,Tech Park,"136, Koramangala Main Road, Bengaluru",12.939716,77.622276,synthetic_demo,high,Rep B,2026-04-01,Follow-up,,Urban Parking Solutions,Not discussed,Security Manager,Contact 093,+91-90000-10092,,Initial discussion completed.,12.939668,77.622129,Yes,Rep C,Synthetic Demo
Skyline Tech Campus,Skyline,Marathahalli,,Marathahalli,East Bengaluru,Coworking Space,"113, Marathahalli Main Road, Bengaluru",12.954213,77.692561,synthetic_demo,high,Rep B,2026-04-04,Follow-up,,ParkPro Services,Budget discussion,Security Manager,Contact 094,+91-90000-10093,,Opportunity requires management approval.,12.954206,77.692821,No,,Synthetic Demo
PrimeWorks Business Park,PrimeWorks,Bellandur,,Bellandur,South-East Bengaluru,Business Park,"114, Bellandur Main Road, Bengaluru",12.92917,77.677645,synthetic_demo,high,Rep C,2026-04-07,Competitor,,SecurePark,,Operations Manager,Contact 095,+91-90000-10094,,Facility team requested more details.,12.928887,77.678397,No,,Synthetic Demo
NexGen Office Hub,NexGen,Domlur,,Domlur,East Bengaluru,Corporate Office,"115, Domlur Main Road, Bengaluru",12.964586,77.641457,synthetic_demo,high,Rep D,2026-04-10,Competitor,,Urban Parking Solutions,Not discussed,Security Manager,Contact 096,+91-90000-10095,,Initial discussion completed.,12.964086,77.641236,No,,Synthetic Demo
SilverOak Tech Garden,SilverOak,Koramangala,,Koramangala,South Bengaluru,Tech Park,"116, Koramangala Main Road, Bengaluru",12.935635,77.630177,synthetic_demo,high,Rep A,2026-04-13,Operational Inefficiency,Additional visitor parking,None,Quote requested,Operations Manager,Contact 097,+91-90000-10096,Check requirement next month,Existing parking arrangement is currently being reviewed.,12.935045,77.629838,No,,Synthetic Demo
Maple Corporate Park,Maple,HSR Layout,,HSR Layout,South-East Bengaluru,Coworking Space,"117, HSR Layout Main Road, Bengaluru",12.910142,77.648024,synthetic_demo,high,Rep B,2026-04-16,Space Shortage,Additional visitor parking,None,Quote requested,Admin Manager,Contact 098,+91-90000-10097,,Facility team requested more details.,12.910223,77.648108,No,,Synthetic Demo
Crest Business Centre,Crest,Indiranagar,,Indiranagar,East Bengaluru,Business Park,"118, Indiranagar Main Road, Bengaluru",12.982353,77.642222,synthetic_demo,high,Rep C,2026-04-19,Opportunity,30 two-wheeler spaces,SecurePark,,Admin Manager,Contact 099,+91-90000-10098,,Security team redirected the enquiry.,12.983045,77.641889,No,,Synthetic Demo
Elevate Coworking Campus,Elevate,Electronic City,,Electronic City,South Bengaluru,Corporate Office,"119, Electronic City Main Road, Bengaluru",12.84954,77.661128,synthetic_demo,high,Rep D,2026-04-22,Space Shortage,25 cars and 40 bikes,SecurePark,Not discussed,Admin Manager,Contact 100,+91-90000-10099,Send quotation,Security team redirected the enquiry.,12.849622,77.660942,No,,Synthetic Demo
Zenith Tech Park,Zenith,Whitefield,,Whitefield,East Bengaluru,Tech Park,"120, Whitefield Main Road, Bengaluru",12.972255,77.74445,synthetic_demo,high,Rep B,2026-04-25,Access Blocked,,None,Budget discussion,Security Manager,Contact 101,+91-90000-10100,,Facility team requested more details.,12.97295,77.744462,Yes,Rep C,Synthetic Demo
NorthStar Tech Park,NorthStar,Marathahalli,,Marathahalli,East Bengaluru,Corporate Office,"123, Marathahalli Main Road, Bengaluru",12.954312,77.694736,synthetic_demo,high,Rep C,2026-04-28,Operational Inefficiency,20 car parking spaces,MetroValet,Not discussed,Admin Manager,Contact 102,+91-90000-10101,Call facility manager,Security team redirected the enquiry.,12.954374,77.694488,Yes,Rep D,Synthetic Demo
Matrix Corporate Centre,Matrix,Brookefield,,Brookefield,East Bengaluru,Business Park,"122, Brookefield Main Road, Bengaluru",12.963958,77.711793,synthetic_demo,high,Rep C,2026-05-01,Access Blocked,,SecurePark,Budget discussion,Admin Manager,Contact 103,+91-90000-10102,Send quotation,Opportunity requires management approval.,12.96354,77.711606,No,,Synthetic Demo
NorthStar Tech Park,NorthStar,Marathahalli,,Marathahalli,East Bengaluru,Corporate Office,"123, Marathahalli Main Road, Bengaluru",12.954312,77.694736,synthetic_demo,high,Rep D,2026-05-04,Operational Inefficiency,Additional visitor parking,MetroValet,Not discussed,Security Manager,Contact 104,+91-90000-10103,,Security team redirected the enquiry.,12.955093,77.695204,No,,Synthetic Demo
Catalyst Business Park,Catalyst,Bellandur,,Bellandur,South-East Bengaluru,Tech Park,"124, Bellandur Main Road, Bengaluru",12.926628,77.674778,synthetic_demo,high,Rep A,2026-05-07,Space Shortage,30 two-wheeler spaces,None,Quote requested,Property Manager,Contact 105,+91-90000-10104,Check requirement next month,Existing parking arrangement is currently being reviewed.,12.926359,77.674139,No,,Synthetic Demo
Oakwood Workspaces,Oakwood,Domlur,,Domlur,East Bengaluru,Coworking Space,"125, Domlur Main Road, Bengaluru",12.959342,77.635214,synthetic_demo,high,Rep B,2026-05-10,Operational Inefficiency,Additional visitor parking,Urban Parking Solutions,Not discussed,Facility Manager,Contact 106,+91-90000-10105,,Opportunity requires management approval.,12.958773,77.635807,No,,Synthetic Demo
Fusion Tech Campus,Fusion,Koramangala,,Koramangala,South Bengaluru,Business Park,"126, Koramangala Main Road, Bengaluru",12.932404,77.62974,synthetic_demo,high,Rep C,2026-05-13,No Requirement,,SecurePark,Budget discussion,Operations Manager,Contact 107,+91-90000-10106,,Existing parking arrangement is currently being reviewed.,12.932712,77.62998,No,,Synthetic Demo
BluePeak Corporate Hub,BluePeak,HSR Layout,,HSR Layout,South-East Bengaluru,Corporate Office,"127, HSR Layout Main Road, Bengaluru",12.913376,77.64871,synthetic_demo,high,Rep D,2026-05-16,Operational Inefficiency,25 cars and 40 bikes,MetroValet,Not discussed,Property Manager,Contact 108,+91-90000-10107,Send quotation,Initial discussion completed.,12.913564,77.648286,No,,Synthetic Demo
Vantage Business Centre,Vantage,Indiranagar,,Indiranagar,East Bengaluru,Tech Park,"128, Indiranagar Main Road, Bengaluru",12.974454,77.64355,synthetic_demo,high,Rep A,2026-05-19,Space Shortage,25 cars and 40 bikes,None,Not discussed,Facility Manager,Contact 109,+91-90000-10108,Share proposal,No immediate requirement; monitor for future demand.,12.974668,77.644146,No,,Synthetic Demo
Sterling Tech Park,Sterling,Electronic City,,Electronic City,South Bengaluru,Coworking Space,"129, Electronic City Main Road, Bengaluru",12.841161,77.658753,synthetic_demo,high,Rep B,2026-05-22,Competitor,,MetroValet,,Facility Manager,Contact 110,+91-90000-10109,,Facility team requested more details.,12.841635,77.658422,No,,Synthetic Demo
