PROPERTY NAME,BRAND,BRANCH,PARENT SITE,AREA,REGION,TYPE,FULL ADDRESS,EXACT LOCATION,LAT,LON,SOURCE,LOCATION CONFIDENCE,REP,VISIT DATE,OUTCOME,REQUIREMENT,COMPETITOR/VENDOR,PRICING,CONTACT ROLE,CONTACT NAME,CONTACT EMAIL,CONTACT PHONE,FOLLOW-UP,REMARKS,LOGGED_LAT,LOGGED_LON,OVERLAP_FLAG,OVERLAP_REP,DATA_STATUS,OWNER_REP,PROPERTY_STATUS
PrimeAxis Coworking Workspace,PrimeAxis,HSR Layout,"157 HSR Layout Main Road, Bengaluru",HSR Layout,South-East Bengaluru,Coworking Space,"157 HSR Layout Main Road, Bengaluru",Tower B,12.908863,77.644393,synthetic_demo,high,Rep B,2026-06-10,Not Interested,,Urban Parking Solutions,,Admin Manager,Contact Person 058,contact058@example.com,+91-90000-10057,none,Contacted; no interest at present.,12.90910368795772,77.64441783769391,No,,Synthetic Demo,,Not Interested
SkyHub Business Park,SkyHub,Indiranagar,"158 Indiranagar Main Road, Bengaluru",Indiranagar,East Bengaluru,Business Park,"158 Indiranagar Main Road, Bengaluru",Tower B,12.985116,77.646573,synthetic_demo,high,Rep C,2026-07-13,Opportunity,Additional visitor parking,Urban Parking Solutions,Quote requested,Operations Manager,Contact Person 059,contact059@example.com,+91-90000-10058,follow_up_scheduled,Meaningful business conversation completed; requirement identified.,12.98507627884559,77.64638734681513,No,,Synthetic Demo,Rep C,Opportunity
NexPoint Corporate Centre,NexPoint,Electronic City,"159 Electronic City Main Road, Bengaluru",Electronic City,South Bengaluru,Corporate Office,"159 Electronic City Main Road, Bengaluru",Building 2,12.837614,77.667544,synthetic_demo,high,Rep D,2026-08-16,No Requirement,,ParkPro Services,,Property Manager,Contact Person 060,contact060@example.com,+91-90000-10059,none,No current parking requirement. Contact retained for future outreach.,12.8375009109039,77.66754441903943,No,,Synthetic Demo,,No Requirement
OneSquare Tech Park,OneSquare,Whitefield,"160 Whitefield Main Road, Bengaluru",Whitefield,East Bengaluru,Tech Park,"160 Whitefield Main Road, Bengaluru",Tower C,12.977572,77.746867,synthetic_demo,high,Rep A,2026-04-19,Follow-up,Additional parking assessment,Urban Parking Solutions,,Facility Manager,Contact Person 061,contact061@example.com,+91-90000-10060,email_follow_up,Conversation started; next action required.,12.977802826478914,77.74686723556047,No,,Synthetic Demo,Rep A,Follow-up
TechBridge Coworking Workspace,TechBridge,Mahadevapura,"161 Mahadevapura Main Road, Bengaluru",Mahadevapura,East Bengaluru,Coworking Space,"161 Mahadevapura Main Road, Bengaluru",Tower B,12.991134,77.696274,synthetic_demo,high,Rep B,2026-05-22,Follow-up,Visitor parking requirement,SecurePark,,Admin Manager,Contact Person 062,contact062@example.com,+91-90000-10061,awaiting_callback,Conversation started; next action required.,12.99096406625851,77.69608620373462,No,,Synthetic Demo,Rep B,Follow-up
WorkSquare Business Park,WorkSquare,Brookefield,"162 Brookefield Main Road, Bengaluru",Brookefield,East Bengaluru,Business Park,"162 Brookefield Main Road, Bengaluru",Tower B,12.961606,77.719218,synthetic_demo,high,Rep C,2026-06-25,No Requirement,,None,,Operations Manager,Contact Person 063,contact063@example.com,+91-90000-10062,none,No current parking requirement. Contact retained for future outreach.,12.961553042951683,77.71905037269161,No,,Synthetic Demo,,No Requirement
BlueOrbit Corporate Centre,BlueOrbit,Marathahalli,"163 Marathahalli Main Road, Bengaluru",Marathahalli,East Bengaluru,Corporate Office,"163 Marathahalli Main Road, Bengaluru",Tower A,12.953723,77.700267,synthetic_demo,high,Rep D,2026-07-01,No Requirement,,None,,Property Manager,Contact Person 064,contact064@example.com,+91-90000-10063,none,No current parking requirement. Contact retained for future outreach.,12.954005862078834,77.70028397339362,No,,Synthetic Demo,,No Requirement
SilverLine Tech Park,SilverLine,Bellandur,"164 Bellandur Main Road, Bengaluru",Bellandur,South-East Bengaluru,Tech Park,"164 Bellandur Main Road, Bengaluru",Building 2,12.917117,77.671457,synthetic_demo,high,Rep A,2026-08-04,Not Interested,,Urban Parking Solutions,,Facility Manager,Contact Person 065,contact065@example.com,+91-90000-10064,none,Contacted; no interest at present.,12.916879387120785,77.67183341217036,No,,Synthetic Demo,,Not Interested
CrownPoint Coworking Workspace,CrownPoint,Domlur,"165 Domlur Main Road, Bengaluru",Domlur,East Bengaluru,Coworking Space,"165 Domlur Main Road, Bengaluru",Tower A,12.967084,77.639973,synthetic_demo,high,Rep B,2026-04-07,No Requirement,,MetroValet,,Admin Manager,Contact Person 066,contact066@example.com,+91-90000-10065,none,No current parking requirement. Contact retained for future outreach.,12.967308034730761,77.64024108271401,No,,Synthetic Demo,,No Requirement
VistaCore Business Park,VistaCore,Koramangala,"166 Koramangala Main Road, Bengaluru",Koramangala,South Bengaluru,Business Park,"166 Koramangala Main Road, Bengaluru",Tower B,12.93289,77.61661,synthetic_demo,high,Rep C,2026-05-10,No Requirement,,Urban Parking Solutions,,Operations Manager,Contact Person 067,contact067@example.com,+91-90000-10066,none,No current parking requirement. Contact retained for future outreach.,12.932890260388751,77.61657202554163,No,,Synthetic Demo,,No Requirement
EdgeWorks Corporate Centre,EdgeWorks,HSR Layout,"167 HSR Layout Main Road, Bengaluru",HSR Layout,South-East Bengaluru,Corporate Office,"167 HSR Layout Main Road, Bengaluru",Tower C,12.913665,77.646108,synthetic_demo,high,Rep D,2026-06-13,Opportunity,Valet support during peak hours,MetroValet,Quote requested,Property Manager,Contact Person 068,contact068@example.com,+91-90000-10067,proposal_requested,Meaningful business conversation completed; requirement identified.,12.913426798378921,77.64577262357321,No,,Synthetic Demo,Rep D,Opportunity
UrbanVista Tech Park,UrbanVista,Indiranagar,"168 Indiranagar Main Road, Bengaluru",Indiranagar,East Bengaluru,Tech Park,"168 Indiranagar Main Road, Bengaluru",Tower A,12.983781,77.645715,synthetic_demo,high,Rep A,2026-07-16,Opportunity,Additional visitor parking,None,Quote requested,Facility Manager,Contact Person 069,contact069@example.com,+91-90000-10068,quote_requested,Meaningful business conversation completed; requirement identified.,12.98413776816489,77.64611392005936,No,,Synthetic Demo,Rep A,Opportunity
PeakPoint Coworking Workspace,PeakPoint,Electronic City,"169 Electronic City Main Road, Bengaluru",Electronic City,South Bengaluru,Coworking Space,"169 Electronic City Main Road, Bengaluru",Building 2,12.85217,77.668063,synthetic_demo,high,Rep B,2026-08-19,No Requirement,,SecurePark,,Admin Manager,Contact Person 070,contact070@example.com,+91-90000-10069,none,No current parking requirement. Contact retained for future outreach.,12.852425882189808,77.66787424362776,No,,Synthetic Demo,,No Requirement
CapitalEdge Business Park,CapitalEdge,Whitefield,"170 Whitefield Main Road, Bengaluru",Whitefield,East Bengaluru,Business Park,"170 Whitefield Main Road, Bengaluru",Main Block,12.975706,77.745512,synthetic_demo,high,Rep C,2026-04-22,Could Not Reach Decision Maker,,None,,Operations Manager,Contact Person 071,contact071@example.com,+91-90000-10070,contact_obtained,Initial contact made but decision maker unavailable.,12.975504270277842,77.74552039044102,No,,Synthetic Demo,,Open
NextGen Corporate Centre,NextGen,Mahadevapura,"171 Mahadevapura Main Road, Bengaluru",Mahadevapura,East Bengaluru,Corporate Office,"171 Mahadevapura Main Road, Bengaluru",Building 2,12.995204,77.711312,synthetic_demo,high,Rep D,2026-05-25,No Requirement,,None,,Property Manager,Contact Person 072,contact072@example.com,+91-90000-10071,none,No current parking requirement. Contact retained for future outreach.,12.995465164443669,77.71148335304262,No,,Synthetic Demo,,No Requirement
CoreVista Tech Park,CoreVista,Brookefield,"172 Brookefield Main Road, Bengaluru",Brookefield,East Bengaluru,Tech Park,"172 Brookefield Main Road, Bengaluru",Tower C,12.966623,77.72147,synthetic_demo,high,Rep A,2026-06-01,No Requirement,,MetroValet,,Facility Manager,Contact Person 073,contact073@example.com,+91-90000-10072,none,No current parking requirement. Contact retained for future outreach.,12.9669011903936,77.7218242820114,No,,Synthetic Demo,,No Requirement
AxisOne Coworking Workspace,AxisOne,Marathahalli,"173 Marathahalli Main Road, Bengaluru",Marathahalli,East Bengaluru,Coworking Space,"173 Marathahalli Main Road, Bengaluru",Main Block,12.951675,77.694744,synthetic_demo,high,Rep B,2026-07-04,No Requirement,,None,,Admin Manager,Contact Person 074,contact074@example.com,+91-90000-10073,none,No current parking requirement. Contact retained for future outreach.,12.951658322353328,77.69471239822133,No,,Synthetic Demo,,No Requirement
GrandVista Business Park,GrandVista,Bellandur,"174 Bellandur Main Road, Bengaluru",Bellandur,South-East Bengaluru,Business Park,"174 Bellandur Main Road, Bengaluru",Tower B,12.922346,77.668691,synthetic_demo,high,Rep C,2026-08-07,Could Not Reach Decision Maker,,None,,Operations Manager,Contact Person 075,contact075@example.com,+91-90000-10074,contact_obtained,Initial contact made but decision maker unavailable.,12.922169814490669,77.66899678220122,No,,Synthetic Demo,,Open
Summit Business Park,Summit,Brookefield,"102 Brookefield Main Road, Bengaluru",Brookefield,East Bengaluru,Business Park,"102 Brookefield Main Road, Bengaluru",Tower C,12.970402,77.710063,synthetic_demo,high,Rep B,2026-06-05,Potential Overlap,Existing active opportunity detected during visit,SecurePark,,Operations Manager,Contact Person 003,contact003@example.com,+91-90000-10002,none,Independent visit by Rep B; existing engagement by Rep C should be respected.,12.96990217665142,77.710554869747,Yes,Rep C,Synthetic Demo,Rep C,Opportunity
Pioneer Coworking Workspace,Pioneer,Domlur,"105 Domlur Main Road, Bengaluru",Domlur,East Bengaluru,Coworking Space,"105 Domlur Main Road, Bengaluru",Main Block,12.962896,77.635956,synthetic_demo,high,Rep D,2026-07-07,No Requirement,,SecurePark,,Admin Manager,Contact Person 006,contact006@example.com,+91-90000-10005,none,Overlap discovered: property had already been checked by Rep B; no current requirement.,12.963039620583558,77.63601821243861,Yes,Rep B,Synthetic Demo,,No Requirement
Meridian Tech Park,Meridian,Indiranagar,"108 Indiranagar Main Road, Bengaluru",Indiranagar,East Bengaluru,Tech Park,"108 Indiranagar Main Road, Bengaluru",Tower C,12.97958,77.64128,synthetic_demo,high,Rep B,2026-08-09,No Requirement,,MetroValet,,Facility Manager,Contact Person 009,contact009@example.com,+91-90000-10008,none,Overlap discovered: property had already been checked by Rep A; no current requirement.,12.979552455756599,77.64133438474356,Yes,Rep A,Synthetic Demo,,No Requirement
Skyline Corporate Centre,Skyline,Mahadevapura,"111 Mahadevapura Main Road, Bengaluru",Mahadevapura,East Bengaluru,Corporate Office,"111 Mahadevapura Main Road, Bengaluru",Building 2,12.995262,77.708974,synthetic_demo,high,Rep B,2026-06-11,Potential Overlap,Existing active opportunity detected during visit,Urban Parking Solutions,,Property Manager,Contact Person 012,contact012@example.com,+91-90000-10011,none,Independent visit by Rep B; existing engagement by Rep D should be respected.,12.995223639616801,77.70872957059109,Yes,Rep D,Synthetic Demo,Rep D,Opportunity
Elevate Coworking Workspace,Elevate,HSR Layout,"117 HSR Layout Main Road, Bengaluru",HSR Layout,South-East Bengaluru,Coworking Space,"117 HSR Layout Main Road, Bengaluru",Tower B,12.909869,77.639719,synthetic_demo,high,Rep D,2026-07-13,No Requirement,,None,,Admin Manager,Contact Person 018,contact018@example.com,+91-90000-10017,none,Overlap discovered: property had already been checked by Rep B; no current requirement.,12.909483638577054,77.6396864281366,Yes,Rep B,Synthetic Demo,,No Requirement
NorthStar Coworking Workspace,NorthStar,Mahadevapura,"121 Mahadevapura Main Road, Bengaluru",Mahadevapura,East Bengaluru,Coworking Space,"121 Mahadevapura Main Road, Bengaluru",Tower C,12.999736,77.703834,synthetic_demo,high,Rep A,2026-08-15,Potential Overlap,Existing active opportunity detected during visit,Urban Parking Solutions,,Admin Manager,Contact Person 022,contact022@example.com,+91-90000-10021,none,Independent visit by Rep A; existing engagement by Rep B should be respected.,13.00001007143832,77.70387851670898,Yes,Rep B,Synthetic Demo,Rep B,Opportunity
Sterling Corporate Centre,Sterling,HSR Layout,"127 HSR Layout Main Road, Bengaluru",HSR Layout,South-East Bengaluru,Corporate Office,"127 HSR Layout Main Road, Bengaluru",Tower C,12.918701,77.64652,synthetic_demo,high,Rep B,2026-06-17,No Requirement,,SecurePark,,Property Manager,Contact Person 028,contact028@example.com,+91-90000-10027,none,Overlap discovered: property had already been checked by Rep D; no current requirement.,12.918237405566366,77.64685797310746,Yes,Rep D,Synthetic Demo,,No Requirement
BridgePoint Coworking Workspace,BridgePoint,Marathahalli,"133 Marathahalli Main Road, Bengaluru",Marathahalli,East Bengaluru,Coworking Space,"133 Marathahalli Main Road, Bengaluru",Building 2,12.964405,77.698434,synthetic_demo,high,Rep D,2026-07-19,Potential Overlap,Existing active opportunity detected during visit,None,,Admin Manager,Contact Person 034,contact034@example.com,+91-90000-10033,none,Independent visit by Rep D; existing engagement by Rep B should be respected.,12.964765674353446,77.69819187651585,Yes,Rep B,Synthetic Demo,Rep B,Opportunity
Stratus Tech Park,Stratus,Whitefield,"140 Whitefield Main Road, Bengaluru",Whitefield,East Bengaluru,Tech Park,"140 Whitefield Main Road, Bengaluru",Tower C,12.973437,77.743243,synthetic_demo,high,Rep B,2026-08-21,No Requirement,,ParkPro Services,,Facility Manager,Contact Person 041,contact041@example.com,+91-90000-10040,none,Overlap discovered: property had already been checked by Rep A; no current requirement.,12.973428719444508,77.74361044210448,Yes,Rep A,Synthetic Demo,,No Requirement
SummitOne Tech Park,SummitOne,Indiranagar,"148 Indiranagar Main Road, Bengaluru",Indiranagar,East Bengaluru,Tech Park,"148 Indiranagar Main Road, Bengaluru",Tower A,12.976852,77.634946,synthetic_demo,high,Rep C,2026-06-23,Potential Overlap,Existing active opportunity detected during visit,SecurePark,,Facility Manager,Contact Person 049,contact049@example.com,+91-90000-10048,none,Independent visit by Rep C; existing engagement by Rep A should be respected.,12.976836096316811,77.63537082223937,Yes,Rep A,Synthetic Demo,Rep A,Opportunity
PrimeAxis Coworking Workspace,PrimeAxis,HSR Layout,"157 HSR Layout Main Road, Bengaluru",HSR Layout,South-East Bengaluru,Coworking Space,"157 HSR Layout Main Road, Bengaluru",Tower B,12.908863,77.644393,synthetic_demo,high,Rep D,2026-07-25,No Requirement,,ParkPro Services,,Admin Manager,Contact Person 058,contact058@example.com,+91-90000-10057,none,Overlap discovered: property had already been checked by Rep B; no current requirement.,12.908420206200384,77.64403189938872,Yes,Rep B,Synthetic Demo,,No Requirement
VistaCore Business Park,VistaCore,Koramangala,"166 Koramangala Main Road, Bengaluru",Koramangala,South Bengaluru,Business Park,"166 Koramangala Main Road, Bengaluru",Tower B,12.93289,77.61661,synthetic_demo,high,Rep A,2026-08-27,No Requirement,,None,,Operations Manager,Contact Person 067,contact067@example.com,+91-90000-10066,none,Overlap discovered: property had already been checked by Rep C; no current requirement.,12.932925657738688,77.61626270697151,Yes,Rep C,Synthetic Demo,,No Requirement
Vertex Coworking Workspace,Vertex,Mahadevapura,"101 Mahadevapura Main Road, Bengaluru",Mahadevapura,East Bengaluru,Coworking Space,"101 Mahadevapura Main Road, Bengaluru",Main Block,12.992591,77.707632,synthetic_demo,high,Rep B,2026-06-06,Follow-up,Visitor parking requirement,ParkPro Services,,Admin Manager,Contact Person 002,contact002@example.com,+91-90000-10001,revisit_needed,Follow-up visit; prior field intelligence reviewed.,12.992914062085713,77.70810783592677,No,,Synthetic Demo,Rep B,Follow-up
Nova Tech Park,Nova,Bellandur,"104 Bellandur Main Road, Bengaluru",Bellandur,South-East Bengaluru,Tech Park,"104 Bellandur Main Road, Bengaluru",Main Block,12.922949,77.670511,synthetic_demo,high,Rep C,2026-07-08,No Requirement,,SecurePark,,Facility Manager,Contact Person 005,contact005@example.com,+91-90000-10004,none,Rechecked; still no requirement.,12.92290026191605,77.6704368840982,No,,Synthetic Demo,,No Requirement
Infinity Corporate Centre,Infinity,HSR Layout,"107 HSR Layout Main Road, Bengaluru",HSR Layout,South-East Bengaluru,Corporate Office,"107 HSR Layout Main Road, Bengaluru",Tower C,12.915167,77.650695,synthetic_demo,high,Rep C,2026-08-10,No Requirement,,None,,Property Manager,Contact Person 008,contact008@example.com,+91-90000-10007,none,Rechecked; still no requirement.,12.915236647495254,77.65024072204088,No,,Synthetic Demo,,No Requirement
PrimeWorks Tech Park,PrimeWorks,Brookefield,"112 Brookefield Main Road, Bengaluru",Brookefield,East Bengaluru,Tech Park,"112 Brookefield Main Road, Bengaluru",Tower B,12.968533,77.716968,synthetic_demo,high,Rep A,2026-06-12,No Requirement,,MetroValet,,Facility Manager,Contact Person 013,contact013@example.com,+91-90000-10012,none,Rechecked; still no requirement.,12.968684594030877,77.71654300236258,No,,Synthetic Demo,,No Requirement
Maple Corporate Centre,Maple,Domlur,"115 Domlur Main Road, Bengaluru",Domlur,East Bengaluru,Corporate Office,"115 Domlur Main Road, Bengaluru",Tower A,12.956297,77.644081,synthetic_demo,high,Rep D,2026-07-14,Follow-up,Valet support during peak hours,ParkPro Services,,Property Manager,Contact Person 016,contact016@example.com,+91-90000-10015,proposal_pending,Follow-up visit; prior field intelligence reviewed.,12.956754454641837,77.64402271419934,No,,Synthetic Demo,Rep D,Follow-up
Harbor Corporate Centre,Harbor,Electronic City,"119 Electronic City Main Road, Bengaluru",Electronic City,South Bengaluru,Corporate Office,"119 Electronic City Main Road, Bengaluru",Main Block,12.848516,77.656141,synthetic_demo,high,Rep B,2026-08-16,No Requirement,,ParkPro Services,,Property Manager,Contact Person 020,contact020@example.com,+91-90000-10019,none,Rechecked; still no requirement.,12.848672121138373,77.65649637370616,No,,Synthetic Demo,,No Requirement
BluePeak Coworking Workspace,BluePeak,Domlur,"125 Domlur Main Road, Bengaluru",Domlur,East Bengaluru,Coworking Space,"125 Domlur Main Road, Bengaluru",Tower B,12.959204,77.633185,synthetic_demo,high,Rep B,2026-06-18,Follow-up,Additional visitor parking,MetroValet,,Admin Manager,Contact Person 026,contact026@example.com,+91-90000-10025,awaiting_callback,Follow-up visit; prior field intelligence reviewed.,12.959499266597382,77.63324739883357,No,,Synthetic Demo,Rep B,Follow-up
CloudPoint Business Park,CloudPoint,Whitefield,"130 Whitefield Main Road, Bengaluru",Whitefield,East Bengaluru,Business Park,"130 Whitefield Main Road, Bengaluru",Tower B,12.971471,77.743672,synthetic_demo,high,Rep C,2026-07-20,No Requirement,,SecurePark,,Operations Manager,Contact Person 031,contact031@example.com,+91-90000-10030,none,Rechecked; still no requirement.,12.971169872515258,77.74381414569902,No,,Synthetic Demo,,No Requirement
TechVista Tech Park,TechVista,Koramangala,"136 Koramangala Main Road, Bengaluru",Koramangala,South Bengaluru,Tech Park,"136 Koramangala Main Road, Bengaluru",Main Block,12.935316,77.626304,synthetic_demo,high,Rep A,2026-08-22,Follow-up,Visitor parking requirement,SecurePark,,Facility Manager,Contact Person 037,contact037@example.com,+91-90000-10036,revisit_needed,Follow-up visit; prior field intelligence reviewed.,12.935446608558127,77.62625842117755,No,,Synthetic Demo,Rep A,Follow-up
MetroEdge Corporate Centre,MetroEdge,Marathahalli,"143 Marathahalli Main Road, Bengaluru",Marathahalli,East Bengaluru,Corporate Office,"143 Marathahalli Main Road, Bengaluru",Tower A,12.965886,77.699132,synthetic_demo,high,Rep B,2026-06-24,No Requirement,,None,,Property Manager,Contact Person 044,contact044@example.com,+91-90000-10043,none,Rechecked; still no requirement.,12.965489532884458,77.69880714668257,No,,Synthetic Demo,,No Requirement
WorkNest Corporate Centre,WorkNest,Mahadevapura,"151 Mahadevapura Main Road, Bengaluru",Mahadevapura,East Bengaluru,Corporate Office,"151 Mahadevapura Main Road, Bengaluru",Building 2,12.989512,77.708704,synthetic_demo,high,Rep C,2026-07-26,No Requirement,,SecurePark,,Property Manager,Contact Person 052,contact052@example.com,+91-90000-10051,none,Rechecked; still no requirement.,12.989776093315761,77.70852152603408,No,,Synthetic Demo,,No Requirement
OneSquare Tech Park,OneSquare,Whitefield,"160 Whitefield Main Road, Bengaluru",Whitefield,East Bengaluru,Tech Park,"160 Whitefield Main Road, Bengaluru",Tower C,12.977572,77.746867,synthetic_demo,high,Rep A,2026-08-05,Follow-up,Additional parking assessment,ParkPro Services,,Facility Manager,Contact Person 061,contact061@example.com,+91-90000-10060,revisit_needed,Follow-up visit; prior field intelligence reviewed.,12.978049150735155,77.74666866211412,No,,Synthetic Demo,Rep A,Follow-up
CoreVista Tech Park,CoreVista,Brookefield,"172 Brookefield Main Road, Bengaluru",Brookefield,East Bengaluru,Tech Park,"172 Brookefield Main Road, Bengaluru",Tower C,12.966623,77.72147,synthetic_demo,high,Rep B,2026-06-07,No Requirement,,MetroValet,,Facility Manager,Contact Person 073,contact073@example.com,+91-90000-10072,none,Rechecked; still no requirement.,12.966180473465544,77.72098742081191,No,,Synthetic Demo,,No Requirement
Orion Tech Park,Orion,Whitefield,"100 Whitefield Main Road, Bengaluru",Whitefield,East Bengaluru,Tech Park,"100 Whitefield Main Road, Bengaluru",Building 2,12.9643,77.755328,synthetic_demo,high,Rep C,2026-07-09,No Requirement,,None,,Facility Manager,Contact Person 001,contact001@example.com,+91-90000-10000,none,Property previously visited by Rep A; no current requirement confirmed.,12.964574701909113,77.75506357972115,No,,Synthetic Demo,,No Requirement
UrbanHive Coworking Workspace,UrbanHive,Electronic City,"109 Electronic City Main Road, Bengaluru",Electronic City,South Bengaluru,Coworking Space,"109 Electronic City Main Road, Bengaluru",Building 2,12.845217,77.657702,synthetic_demo,high,Rep A,2026-08-11,No Requirement,,MetroValet,,Admin Manager,Contact Person 010,contact010@example.com,+91-90000-10009,none,Property previously visited by Rep B; no current requirement confirmed.,12.845595600969185,77.65811571639235,No,,Synthetic Demo,,No Requirement
SilverOak Business Park,SilverOak,Bellandur,"114 Bellandur Main Road, Bengaluru",Bellandur,South-East Bengaluru,Business Park,"114 Bellandur Main Road, Bengaluru",Tower C,12.929548,77.668402,synthetic_demo,high,Rep C,2026-06-13,No Requirement,,SecurePark,,Operations Manager,Contact Person 015,contact015@example.com,+91-90000-10014,none,Property previously visited by Rep C; no current requirement confirmed.,12.929729015453587,77.66843742546725,No,,Synthetic Demo,,No Requirement
Catalyst Business Park,Catalyst,Brookefield,"122 Brookefield Main Road, Bengaluru",Brookefield,East Bengaluru,Business Park,"122 Brookefield Main Road, Bengaluru",Tower B,12.968638,77.71667,synthetic_demo,high,Rep D,2026-07-15,No Requirement,,ParkPro Services,,Operations Manager,Contact Person 023,contact023@example.com,+91-90000-10022,none,Property previously visited by Rep C; no current requirement confirmed.,12.968324575070957,77.7165630898691,No,,Synthetic Demo,,No Requirement
Lighthouse Coworking Workspace,Lighthouse,Electronic City,"129 Electronic City Main Road, Bengaluru",Electronic City,South Bengaluru,Coworking Space,"129 Electronic City Main Road, Bengaluru",Tower B,12.843321,77.652525,synthetic_demo,high,Rep D,2026-08-17,No Requirement,,SecurePark,,Admin Manager,Contact Person 030,contact030@example.com,+91-90000-10029,none,Property previously visited by Rep B; no current requirement confirmed.,12.84357155606941,77.65270621620775,No,,Synthetic Demo,,No Requirement
Cobalt Business Park,Cobalt,Indiranagar,"138 Indiranagar Main Road, Bengaluru",Indiranagar,East Bengaluru,Business Park,"138 Indiranagar Main Road, Bengaluru",Building 2,12.979919,77.644256,synthetic_demo,high,Rep B,2026-06-19,No Requirement,,SecurePark,,Operations Manager,Contact Person 039,contact039@example.com,+91-90000-10038,none,Property previously visited by Rep C; no current requirement confirmed.,12.980074177402932,77.64431848460298,No,,Synthetic Demo,,No Requirement
Parkside Business Park,Parkside,Koramangala,"146 Koramangala Main Road, Bengaluru",Koramangala,South Bengaluru,Business Park,"146 Koramangala Main Road, Bengaluru",Building 1,12.932002,77.630849,synthetic_demo,high,Rep C,2026-07-21,No Requirement,,SecurePark,,Operations Manager,Contact Person 047,contact047@example.com,+91-90000-10046,none,Property previously visited by Rep C; no current requirement confirmed.,12.932181622009642,77.6308808525637,No,,Synthetic Demo,,No Requirement
EastGate Business Park,EastGate,Bellandur,"154 Bellandur Main Road, Bengaluru",Bellandur,South-East Bengaluru,Business Park,"154 Bellandur Main Road, Bengaluru",Tower A,12.930983,77.670421,synthetic_demo,high,Rep D,2026-08-23,No Requirement,,None,,Operations Manager,Contact Person 055,contact055@example.com,+91-90000-10054,none,Property previously visited by Rep C; no current requirement confirmed.,12.931033458546318,77.67002617727667,No,,Synthetic Demo,,No Requirement
BlueOrbit Corporate Centre,BlueOrbit,Marathahalli,"163 Marathahalli Main Road, Bengaluru",Marathahalli,East Bengaluru,Corporate Office,"163 Marathahalli Main Road, Bengaluru",Tower A,12.953723,77.700267,synthetic_demo,high,Rep B,2026-06-25,No Requirement,,None,,Property Manager,Contact Person 064,contact064@example.com,+91-90000-10063,none,Property previously visited by Rep D; no current requirement confirmed.,12.953976474540498,77.70030159791466,No,,Synthetic Demo,,No Requirement
CapitalEdge Business Park,CapitalEdge,Whitefield,"170 Whitefield Main Road, Bengaluru",Whitefield,East Bengaluru,Business Park,"170 Whitefield Main Road, Bengaluru",Main Block,12.975706,77.745512,synthetic_demo,high,Rep B,2026-07-27,No Requirement,,SecurePark,,Operations Manager,Contact Person 071,contact071@example.com,+91-90000-10070,none,Property previously visited by Rep C; no current requirement confirmed.,12.975224503249267,77.74582240305048,No,,Synthetic Demo,,No Requirement
